location,region,country,source,reason(s) for exclusion,citations,,,,,,,,,
Ouagadougou and Bobo-Dioulasso,Africa,Burkina Faso,Bergeri et al.,sampling past February 2021,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5644217#.Yb1tJmjMKM8,http://www.insp.gov.bf/projet-anrs-cov-13-emul-covid-19/,,,,,,,
national,Africa,Cameroon,Google,"insufficient evidence of representative sampling, sampling past February 2021",https://www.youtube.com/watch?v=8yzSioRtxkg&t=1574s,,,,,,,,,
national,Africa,Cape Verde,SeroTracker,Wondfo,https://biomedgrid.com/pdf/AJBSR.MS.ID.001835.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3762489,https://web.archive.org/web/20201207061546/http://www.minsaude.gov.cv/index.php/documentosite/coronavirus-covid-19/539-inquerito-sero-prevalencia-sobre-a-covid-19/file?fbclid=IwAR1epD8GSbSKr8aHTcSVBDMTpStSwuKEBKG3qKFuF7kV86RlK7SJ5S3O3zo,https://covid19.cv/inquerito-sero-epidemiologico-da-infeccao-por-sars-cov-2-em-cabo-verde/,https://www.youtube.com/watch?v=1kHYd7Wy8LM,https://covid19.cv/o-estudo-de-sero-prevalencia-da-covid-19-em-cabo-verde-revelou-uma-prevalencia-de-04/,,,,
Bangui,Africa,Central African Republic,Google,sampling past February 2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3951178,https://zenodo.org/record/5794867#.YckFUmjMKM8,,,,,,,,
Lubumbashi,Africa,Dem. Republic of Congo,Google,"start-week and end-week not specified, insufficient evidence of representative sampling (see Dagahaley refugee camp study for similar issues)",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260989,2:45 and 9:36 - 11:05  :  https://www.youtube.com/watch?v=NXNMhraHGMs&t=576s,https://archive.is/RvLt4/99818d1f29a8ab535c80283bf858b1a172da05e4.jpg,https://archive.is/RvLt4/8eeef335da911e44f9bb7bd8fc333563b6bb8d40.jpg,https://www.youtube.com/watch?v=8yzSioRtxkg&t=1574s,,,,,
"Addis Ababa (Addis Ketema, Yeka) + Jimma (urban + rural)",Africa,Ethiopia,SSRN,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(21)00386-7/fulltext,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3864075,,,,,,,,
"South Wollo Zone, Afar Regional State, and Oromia Special Zone",Africa,Ethiopia,Google,"non-representative sample (focuses on those at testing centers who suspected COVID-19 cases, close contacts of cases, etc.)",https://www.hindawi.com/journals/ijmicro/2021/5549893/,,,,,,,,,
Great Accra region: selected locations,Africa,Ghana,MedRxiv,"non-representative sample (sampling shoppers, etc.)",https://www.medrxiv.org/content/10.1101/2021.04.25.21256067v2.full-text,https://www.ug.edu.gh/announcements/webinar-results-waccbip-covid-19-seroprevalence-studies-parts-southern-ghana,https://www.waccbip.org/1-million-people-already-exposed-to-covid-19-in-accra-scientists-estimate/,,,,,,,
Dadaab (Dagahaley refugee camp),Africa,Kenya,Google,non-representative sample (those seeking care at a medical center),2:45 and 7:57 - 9:35  :  https://www.youtube.com/watch?v=NXNMhraHGMs&t=477s,https://www.medrxiv.org/content/10.1101/2021.07.29.21261324v1.full-text,https://www.youtube.com/watch?v=8yzSioRtxkg&t=1574s,,,,,,,
Nairobi County (Kibera settlement),Africa,Kenya,Google,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://f1000research.com/articles/10-853,,,,,,,,,
selected districts,Africa,Malawi,Bergeri et al.,"unclear which districts were sampled, need to distinguish community vs. facility-based sampling",https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5711715,,,,,,,,
Karonga + Lilongwe,Africa,Malawi,Twitter,unclear if sample is representative,http://www.meiru.info/covid-19-research/,https://twitter.com/DrToniHo/status/1371476615058833411,,,,,,,,
"Bancoumana town, Donéguébougou, Sotuba",Africa,Mali,SeroTracker,non-representative sample,https://www.medrxiv.org/content/10.1101/2021.04.26.21256016v1.full-text,,,,,,,,,
Anambra state,Africa,Nigeria,Google,"insufficient evidence of representative sampling (2 healthcare staff sampled per 15 people, unclear if health care facilities' list of clients was representative of the general population and/or included most of the population)",https://www.ijidonline.com/article/S1201-9712(21)00596-8/fulltext,,,,,,,,,
"Enugu, Gombe, Lagos, Nasarawa states",Africa,Nigeria,Google,insufficient information on assay,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5644231#.Yb1fo2jMKM8,https://ncdc.gov.ng/news/item/323/?t=ncdc-and-nimr-release-findings-of-covid-19-household-seroprevalence-surveys-in-four-states-of-nigeria,http://ciheb.org/News/COVID-19-Survey-Releases-Preliminary-Estimates-of-Seroprevalence-in-Nigeria/,http://ciheb.org/news/COVID-19-Survey-Launches-in-Nigeria/,https://ncdc.gov.ng/reports/277/2020-september-week-36,page 20: https://www.cdc.gov/coronavirus/2019-ncov/downloads/global-covid-19/seroprevalence-surveys-for-COVID-19.pdf,https://twitter.com/CIHEB_Nigeria/status/1369987432704323588,https://ncdc.gov.ng/news/267/ncdc-and-nimr-launch-covid-19-household-seroprevalence-surveys-in-selected-states-of-nigeria,
national,Africa,Sierra Leone,SeroTracker,sampling past February 2021,https://gh.bmj.com/content/6/11/e007271,https://www.medrxiv.org/content/10.1101/2021.06.27.21259271v1.full-text,,,,,,,,
Omdurman,Africa,Sudan,Google,sampling past February 2021,https://www.medrxiv.org/node/399453.full,https://www.youtube.com/watch?v=nUXGZv0Ghdw&t=58s,IFR:  https://archive.md/Wm0YV,https://www.youtube.com/watch?v=8yzSioRtxkg&t=1574s,,,,,,
national,Middle East,Afghanistan,SeroTracker,"insufficient information on assay (unreported: confidence intervals or sample size used to find for test characteristics, assay name; Novazym assay was not ""FDA authorized"", contrary to the report)",https://moph.gov.af/sites/default/files/2020-08/Final%20COVID-19%20Survey%20English%20Report.pdf,https://archive.is/hzcSv,https://twitter.com/mophofficial/status/1290959681545019393,,,,,,,
18 cities,Middle East,Iran,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30858-6/fulltext,response: https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00044-X/fulltext,reply: https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00058-X/fulltext,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3647115,,,,,,
Guilan province,Middle East,Iran,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://wwwnc.cdc.gov/eid/article/27/2/20-1960_article,https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1,,,,,,,,
Mazandaran province,Middle East,Iran,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://www.apjtm.org/article.asp?issn=1995-7645;year=2021;volume=14;issue=1;spage=10;epage=16;aulast=Mousavi,,,,,,,,,
"Almaty, Kostanay, Oskemen",Middle East,Kazakhstan,Bergeri et al.,unclear if sample is representative (are healthcare center attendees representative of the general population or constitute the vast majority of the population),https://onlinelibrary.wiley.com/doi/10.1002/hsr2.562,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5646794#.Yb1XQWjMKM8,,,,,,,
national,Middle East,Kyrgyzstan,Google,non-representative sample,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5645779#.Yb8x3GjMKM8,http://med.kg/en/news/3376-preliminary-results-of-seroepidemiological-covid-19-testing-in-kyrgyzstan.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7898654/,page 35: https://www.cdc.gov/coronavirus/2019-ncov/downloads/global-covid-19/seroprevalence-surveys-for-COVID-19.pdf,,,,,
West Bank,Middle East,Palestine,Google,non-representative sample; failed to reach ≥35% of sample reporting as female,https://bmjopen.bmj.com/content/11/2/e044552.long,https://www.medrxiv.org/content/10.1101/2020.08.28.20180083v3,,,,,,,,
districts of 3 cities,Middle East,Saudi Arabia,Google,unclear which cities were sampled,https://link.springer.com/article/10.1007/s15010-021-01726-2,,,,,,,,,
Jazan province,Middle East,Saudi Arabia,Google,insufficient evidence of representative sampling (unknown sample frame),https://www.mdpi.com/1660-4601/18/23/12451/htm,,,,,,,,,
national,Middle East,Turkey,Twitter,unclear if sample is representative,https://twitter.com/drfahrettinkoca/status/1278596313379213312,https://www.sozcu.com.tr/2020/saglik/saglik-bakani-fahrettin-koca-turkiyenin-antikor-testi-sonuclarini-acikladi-5906832/,https://www.youtube.com/watch?v=0DyL3Ha-ImE,https://ahvalnews.com/turkey-coronavirus/turkey-conduct-half-million-covid-19-antibody-tests-bloomberg,,,,,,
Dhaka,South Asia,Bangladesh,Google,insufficient information on assay,https://www.icddrb.org/news-and-events/press-corner/press-releases?id=97&task=view,https://tbsnews.net/coronavirus-chronicle/covid-19-bangladesh/45-dhaka-population-develops-covid-19-antibodies-144205,http://ddnews.gov.in/international/45-people-dhaka-carry-covid-19-antivirus-iedcr,https://thefinancialexpress.com.bd/national/bangladesh-sees-herd-immunity-study-1602561365,,,,,,
"Dhaka, Chattogram",South Asia,Bangladesh,Google,unclear if sample is representative,https://www.icddrb.org/news-and-events/news?id=878,,,,,,,,,
Sitakunda subdistrict (in Chattogram district),South Asia,Bangladesh,Google,sampling past February 2021,https://wwwnc.cdc.gov/eid/article/28/2/21-1689_article,https://www.medrxiv.org/content/10.1101/2021.07.16.21260611v2,https://wwwnc.cdc.gov/eid/article/28/2/21-2417_article,,,,,,,
"6 cities: New Delhi + Faridabad, Gorakhpur, Bhubaneshwar, Puducherry, Agartala",South Asia,India,Bergeri et al.,sampling past February 2021,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5703289#.Yb1rimjMKM8,,,,,,,,
Gujarat: Ahmedabad city #1,South Asia,India,Bergeri et al.,insufficient evidence of representative sampling (unclear if health centers' list of clients was representative of the general population and/or included most of the population),https://journals.lww.com/jfmpc/Fulltext/2021/10060/Population_based_seropositivity_for_IgG_antibodies.40.aspx,,,,,,,,,
"Karnataka: Bangalore (in 24 ""slums"")",South Asia,India,Google,sampling past February 2021,http://www.iapsmupuk.org/journal/index.php/IJCH/article/view/2220,,,,,,,,,
Karnataka: Bangalore Rural District #1,South Asia,India,Google,non-representative sample,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0249247,,,,,,,,,
"Karnataka: Bangalore Urban District, DJ Halli",South Asia,India,Google,unclear if sample is representative,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7884660/,,,,,,,,,
Kerala,South Asia,India,Google,sampling past February 2021,https://health.kerala.gov.in/pdf/Sero_Surveillance_Report_aug_sep.pdf,,,,,,,,,
Maharashtra: Aurangabad district,South Asia,India,SeroTracker,insufficient information on assay,"likely not an indexed journal, treat as a pre-print: https://ijcrt.org/papers/IJCRT2009467.pdf",https://twitter.com/DrSubhasree/status/1298116735724265472,,,,,,,,
Maharashtra: Nashik,South Asia,India,Google,insufficient information on assay,https://pesquisa.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/pt/covidwho-1472988,https://www.jrmds.in/articles/seroprevalence-of-covid19-in-a-city-in-india-a-communitybased-crosssectional-study.pdf,,,,,,,,
Tamil Nadu: K.V. Kuppam block,South Asia,India,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06787-0,https://www.researchsquare.com/article/rs-289385/v1,,,,,,,,
greater Malé area,South Asia,Maldives,Google,"insufficient information on assay (assay information became available after December 17, 2021)",https://pubmed.ncbi.nlm.nih.gov/34953474/,https://apjai-journal.org/wp-content/uploads/2022/01/AP-040721-1177.pdf,"December 6th video, 6:13 - 10:56 : https://www.facebook.com/oneonlinemv/videos/onelive-heoc-press-briefing-regarding-covid19-outbreak-in-maldives/200716321694611/?__so__=permalink&__rv__=related_videos",for the December 6th video: https://twitter.com/HPA_MV/status/1335594914143379457,https://edition.mv/health_emergency_operation_center_heoc/20789,https://twitter.com/HPA_MV/status/1318517246474383360,https://mnu.edu.mv/antibody-testing-covid-19-seroprevalence-study/,https://twitter.com/HPA_MV/status/1326872930760974339,,
national,South Asia,Pakistan,Google,insufficient information on assay,https://bmjopen.bmj.com/content/12/4/e055381\,https://www.aku.edu/news/Pages/News_Details.aspx?nid=NEWS-002322,page 44: https://www.cdc.gov/coronavirus/2019-ncov/downloads/global-covid-19/seroprevalence-surveys-for-COVID-19.pdf,https://www.dawn.com/news/1575607,,,,,,
Karachi: specific neighborhoods,South Asia,Pakistan,SeroTracker,non-representative sample,https://www.sciencedirect.com/science/article/pii/S1201971221002587,https://www.medrxiv.org/content/10.1101/2020.07.28.20163451v4,https://www.aku.edu/news/Pages/News_Details.aspx?nid=NEWS-002322,,,,,,,
Colombo Municipality region: 6 districts,South Asia,Sri Lanka,SeroTracker,"non-representative sample (sampling shoppers, etc.)",https://www.medrxiv.org/content/10.1101/2021.06.18.21259143v1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3854637,https://www.frontiersin.org/articles/10.3389/fpubh.2021.724398/full,,,,,,,
Wuhan: Wuchang District,East Asia,China,SeroTracker,left out of analysis (seroprevalence-only sample with geographical overlap with another included study),https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30598-X/fulltext,,,,,,,,,
Hiroshima: 5 municipalities,East Asia,Japan,SeroTracker,"advanced economy, start-week and end-week not specified",https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://www.pref.hiroshima.lg.jp/site/2019-ncov/message20201030.html,https://www.pref.hiroshima.lg.jp/uploaded/attachment/409861.pdf,https://www.pref.hiroshima.lg.jp/uploaded/attachment/421762.pdf,https://www.pref.hiroshima.lg.jp/soshiki/57/corona-tyousa.html,https://www.pref.hiroshima.lg.jp/soshiki/269/corona-koutai.html,https://www.pref.hiroshima.lg.jp/soshiki/269/koutaikennsakekka.html,,,
"Miyagi, Osaka, Tokyo",East Asia,Japan,SeroTracker,advanced economy,https://wwwnc.cdc.gov/eid/article/27/2/20-4088_article,page 13: https://web.archive.org/web/20200723070434/https://www.mofa.go.jp/files/100068737.pdf  ;  from: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/newpage_00032.html,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00132.html,https://www.mhlw.go.jp/content/000637286.pdf,https://www.pref.miyagi.jp/release/ho20200525-2.html,,,,,
"Miyagi, Osaka, Tokyo, Aichi, Fukuoka",East Asia,Japan,Twitter,advanced economy,https://www.mhlw.go.jp/content/000761671.pdf,https://www.pref.aichi.jp/site/covid19-aichi/koutaikekka-kakuteiti.html,https://www.pref.aichi.jp/site/covid19-aichi/koutaikekka.html,https://www.pref.aichi.jp/site/covid19-aichi/koutaityousa.html,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00132.html,https://www.mhlw.go.jp/content/10900000/000898612.pdf,https://www.mhlw.go.jp/stf/seisakunitsuite/newpage_00058.html,,,
Wakayama,East Asia,Japan,Twitter,"advanced economy, insufficient evidence of representative sampling",http://wave.pref.wakayama.lg.jp/news/kensei/shiryo.php?sid=31587,,,,,,,,,
Utsunomiya City (Greater Tokyo),East Asia,Japan,SeroTracker,advanced economy  (0 reported COVID-19 deaths),https://onlinelibrary.wiley.com/doi/full/10.1002/jgf2.408,https://www.medrxiv.org/content/10.1101/2020.07.20.20155945v1?rss=1%22,,,,,,,,
Barangay Carmen,East Asia,Philippines,Google,unable to translate language,https://www.youtube.com/watch?v=YyZyBNV_3SA,https://www.pna.gov.ph/articles/1107057,https://covid19response.cagayandeoro.gov.ph/news/item/384-after-8th-covid-19-death-portion-of-upper-carmen-under-localized-quarantine.html,https://www.facebook.com/tvpnorthernmindanao/videos/resulta-sa-covid-19-seroprevalence-survey-sa-brgy-carmen-cdo/285982555846272/,,,,,,
national,East Asia,Singapore,SeroTracker,"advanced economy, insufficient evidence of representative sampling [need focus on portion of SPHS cohort representative of the general population]",https://www.ijidonline.com/article/S1201-9712(21)00891-2/fulltext,https://www.researchsquare.com/article/rs-441527/v1,https://blog.nus.edu.sg/sphs/,,,,,,,
national,East Asia,South Korea,Google,advanced economy,https://link.springer.com/article/10.1007/s42952-021-00131-7,https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2022028,http://web.archive.org/web/20220307074415/https://www.parasitol.or.kr/upload/pdf/epih-e2022028-AOP.pdf,https://arxiv.org/abs/2101.11991,https://www.cdc.go.kr/board/board.es?mid=&bid=0030&tag=&act=view&list_no=367740,method for serum collection: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3937975/,,,,
national,Oceania,Indonesia,Bergeri et al.,sampling past February 2021,https://www.medrxiv.org/content/10.1101/2021.12.14.21267791v1.supplementary-material,https://zenodo.org/record/5665348#.Yb1ZLGjMKM8,,,,,,,,
Jakarta,Oceania,Indonesia,Google,sampling past February 2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3954041,,,,,,,,,
national,Polynesia,"Tahiti , Moorea",Google,insufficient information on assay,https://www.facebook.com/TahitiNuiTelevision/videos/edition-sp%C3%A9ciale-du-17-mars/281631116763668/,https://www.radio1.pf/25-de-la-population-des-iles-du-vent-aurait-eu-le-covid/,https://www.service-public.pf/dsp/2021/02/05/lancement-etude-seroprevalence/,,,,,,,
